questao,gabarito,enunciado,alternativas
12,D,"Deficientes visuais já podem ir a algumas salas de cinema e teatros para curtir, em maior intensidade, as atrações em cartaz. Quem ajuda na tarefa é o aplicativo Whatscine, recém-chegado ao Brasil e disponível para os sistemas operacionais iOS (Apple) ou Android (Google). Ao ser conectado à rede wi-fi de cinemas e teatros, o app sincroniza um áudio que descreve o que ocorre na tela ou no palco com o espetáculo em andamento: o usuário, então, pode ouvir a narração em seu celular. O programa foi desenvolvido por pesquisadores da Universidade Carlos III, em Madri. “Na Espanha, 200 salas de cinema já oferecem o recurso e filmes de grandes estúdios já são exibidos com o recurso do Whatscine!”, diz o brasileiro Luis Mauch, que trouxe a tecnologia para o país. “No Brasil, já fechamos parceria com a São Paulo Companhia de Dança para adaptar os espetáculos deles! Isso já é um avanço. Concorda?” Disponível em: http://veja.abril.com.br. Acesso em: 25 jun. 2014 (adaptado). Por ser múltipla e apresentar peculiaridades de acordo com a intenção do emissor, a linguagem apresenta funções diferentes. Nesse fragmento, predomina a função referencial da linguagem, porque há a presença de elementos que ","['buscam convencer o leitor, incitando o uso do aplicativo. ', 'definem o aplicativo, revelando o ponto de vista da autora. ', 'evidenciam a subjetividade, explorando a entonação emotiva. ', 'expõem dados sobre o aplicativo, usando linguagem denotativa. ', 'objetivam manter um diálogo com o leitor, recorrendo a uma indagação. *SA0175AZ6*LC - 1º dia | Caderno 1 - AZUL - Página 7']"
13,B,"TEXTO I Disponível em: http://revistaiiqb.usac.edu.gt. Acesso em: 25 abr. 2018 (adaptado). TEXTO II Imaginemos um cidadão, residente na periferia de um grande centro urbano, que diariamente acorda às 5h para trabalhar, enfrenta em média 2 horas de transporte público, em geral lotado, para chegar às 8h ao trabalho. Termina o expediente às 17h e chega em casa às 19h para, aí sim, cuidar dos afazeres domésticos, dos filhos etc. Como dizer a essa pessoa que ela deve praticar exercícios, pois é importante para sua saúde? Como ela irá entender a mensagem da importância do exercício físico? A probabilidade de essa pessoa praticar exercícios regularmente é significativamente menor que a de pessoas da classe média/alta que vivem outra realidade. Nesse caso, a abordagem individual do problema tende a fazer com que a pessoa se sinta impotente em não conseguir praticar exercícios e, consequentemente, culpada pelo fato de ser ou estar sedentária. FERREIRA, M. S. Aptidão física e saúde na educação física escolar: ampliando o enfoque. RBCE, n. 2, jan. 2001 (adaptado). O segundo texto, que propõe uma reflexão sobre o primeiro acerca do impacto de mudanças no estilo de vida na saúde, apresenta uma visão ","['medicalizada, que relaciona a prática de exercícios físicos por qualquer indivíduo à promoção da saúde. ', 'ampliada, que considera aspectos sociais intervenientes na prática de exercícios no cotidiano. ', 'crítica, que associa a interferência das tarefas da casa ao sedentarismo do indivíduo. ', 'focalizada, que atribui ao indivíduo a responsabilidade pela prevenção de doenças. ', 'geracional, que preconiza a representação do culto à jovialidade.']"
14,E,"No tradicional concurso de miss, as candidatas apresentaram dados de feminicídio, abuso sexual e estupro no país. No lugar das medidas de altura, peso, busto, cintura e quadril, dados da violência contra as mulheres no Peru. Foi assim que as 23 candidatas ao Miss Peru 2017 protestaram contra os altos índices de feminicídio e abuso sexual no país no tradicional desfile em trajes de banho. O tom político, porém, marcou a atração desde o começo: logo no início, quando as peruanas se apresentaram, uma a uma, denunciaram os abusos morais e físicos, a exploração sexual, o assédio, entre outros crimes contra as mulheres. Disponível em: www.cartacapital.com.br. Acesso em: 29 nov. 2017. Quanto à materialização da linguagem, a apresentação de dados relativos à violência contra a mulher ","['configura uma discussão sobre os altos índices de abuso físico contra as peruanas. ', 'propõe um novo formato no enredo dos concursos de beleza feminina. ', 'condena o rigor estético exigido pelos concursos tradicionais. ', 'recupera informações sensacionalistas a respeito desse tema. ', 'subverte a função social da fala das candidatas a miss.']"
15,D,"Dia 20/10 É preciso não beber mais. Não é preciso sentir vontade de beber e não beber: é preciso não sentir vontade de beber. É preciso não dar de comer aos urubus. É preciso fechar para balanço e reabrir. É preciso não dar de comer aos urubus. Nem esperanças aos urubus. É preciso sacudir a poeira. É preciso poder beber sem se oferecer em holocausto. É preciso. É preciso não morrer por enquanto. É preciso sobreviver para verificar. Não pensar mais na solidão de Rogério, e deixá-lo. É preciso não dar de comer aos urubus. É preciso enquanto é tempo não morrer na via pú blica. TORQUATO NETO. In: MENDONÇA, J. (Org.) Poesia (im)popular brasileira. São Bernardo do Campo: Lamparina Luminosa, 2012. O processo de construção do texto formata uma mensagem por ele dimensionada, uma vez que ","['configura o estreitamento da linguagem poética. ', 'reflete as lacunas da lucidez em desconstrução. ', 'projeta a persistência das emoções reprimidas. ', 'repercute a consciência da agonia antecipada. ', 'revela a fragmentação das relações humanas. *SA0175AZ7*LC - 1º dia | Caderno 1 - AZUL - Página 8']"
16,A,"Somente uns tufos secos de capim empedrados crescem na silenciosa baixada que se perde de vista. Somente uma árvore, grande e esgalhada mas com pouquíssimas folhas, abre-se em farrapos de sombra. Único ser nas cercanias, a mulher é magra, ossuda, seu rosto está lanhado de vento. Não se vê o cabelo, coberto por um pano desidratado. Mas seus olhos, a boca, a pele – tudo é de uma aridez sufocante. Ela está de pé. A seu lado está uma pedra. O sol explode. Ela estava de pé no fim do mundo. Como se andasse para aquela baixada largando para trás suas noções de si mesma. Não tem retratos na memória. Desapossada e despojada, não se abate em autoacusações e remorsos. Vive. Sua sombra somente é que lhe faz companhia. Sua sombra, que se derrama em traços grossos na areia, é que adoça como um gesto a claridade esquelética. mulher esvaziada emudece, se dessangra, se cristaliza, se mineraliza. Já é quase de pedra como a pedra a seu lado. Mas os traços de sua sombra caminham e, tornando-se mais longos e finos, esticam-se para os farrapos de sombra da ossatura da árvore, com os quais se enlaçam. FRÓES, L. Vertigens: obra reunida. Rio de Janeiro: Rocco, 1998. Na apresentação da paisagem e da personagem, o narrador estabelece uma correlação de sentidos em que esses elementos se entrelaçam. Nesse processo, a condição humana configura-se ","['amalgamada pelo processo comum de desertificação e de solidão. ', 'fortalecida pela adversidade extensiva à terra e aos seres vivos. ', 'redimensionada pela intensidade da luz e da exuberância local. ', 'imersa num drama existencial de identidade e de origem. ', 'imobilizada pela escassez e pela opressão do ambiente.']"
17,C,"Aconteceu mais de uma vez: ele me abandonou. Como todos os outros. O quinto. A gente já estava junto há mais de um ano. Parecia que dessa vez seria para sempre. Mas não: ele desapareceu de repente, sem deixar rastro. Quando me dei conta, fiquei horas ligando sem parar – mas só chamava, chamava, e ninguém atendia. E então fiz o que precisava ser feito: bloqueei a linha. verdade é que nenhum telefone celular me suporta. Já tentei de todas as marcas e operadoras, apenas para descobrir que eles são todos iguais: na primeira oportunidade, dão no pé. Esse último aproveitou que eu estava distraído e não desceu do táxi junto comigo. Ou será que ele já tinha pulado do meu bolso no momento em que eu embarcava no táxi? Tomara que sim. Depois de fazer o que me fez, quero mais é que ele tenha ido parar na sarjeta. [...] Se ainda fossem embora do jeito que chegaram, tudo bem. [...] Mas já sei o que vou fazer. No caminho da loja de celulares, vou passar numa papelaria. Pensando bem, nenhuma das minhas agendinhas de papel jamais me abandonou. FREIRE, R. Começar de novo. O Estado de S. Paulo , 24 nov. 2006.Nesse fragmento, a fim de atrair a atenção do leitor e de estabelecer um fio condutor de sentido, o autor utiliza-se de ","['primeira pessoa do singular para imprimir subjetividade ao relato de mais uma desilusão amorosa. ', 'ironia para tratar da relação com os celulares na era de produtos altamente descartáveis. ', 'frases feitas na apresentação de situações amorosas estereotipadas para construir a ambientação do texto. ', 'quebra de expectativa como estratégia argumentativa para ocultar informações. ', 'verbos no tempo pretérito para enfatizar uma aproximação com os fatos abordados ao longo do texto.']"
18,D,"Enquanto isso, nos bastidores do universo Você planeja passar um longo tempo em outro país, trabalhando e estudando, mas o universo está preparando a chegada de um amor daqueles de tirar o chão, um amor que fará você jogar fora seu atlas e criar raízes no quintal como se fosse uma figueira. Você treina para a maratona mais desafiadora de todas, mas não chegará com as duas pernas intactas na hora da largada, e a primeira perplexidade será esta: a experiência da frustração. O universo nunca entrega o que promete. Aliás, ele nunca prometeu nada, você é que escuta vozes. No dia em que você pensa que não tem nada a dizer para o analista, faz a revelação mais bombástica dos seus dois anos de terapia. O resultado de um exame de rotina coloca sua rotina de cabeça para baixo. Você não imaginava que iriam tantos amigos à sua festa, e tampouco imaginou que justo sua grande paixão não iria. Quando achou que estava bela, não arrasou corações. Quando saiu sem maquiagem e com uma camiseta puída, chamou a atenção. E assim seguem os dias à prova de planejamento e contrariando nossas vontades, pois, por mais que tenhamos ensaiado nossa fala e estejamos preparados para a melhor cena, nos bastidores do universo alguém troca nosso papel de última hora, tornando surpreendente a nossa vida. MEDEIROS, M. O Globo , 21 jun. 2015. Entre as estratégias argumentativas utilizadas para sustentar a tese apresentada nesse fragmento, destaca-se a recorrência de ","['estruturas sintáticas semelhantes, para reforçar a velocidade das mudanças da vida. ', 'marcas de interlocução, para aproximar o leitor das experiências vividas pela autora. ', 'formas verbais no presente, para exprimir reais possibilidades de concretização das ações. ', 'construções de oposição, para enfatizar que as expectativas são afetadas pelo inesperado. ', 'sequências descritivas, para promover a identificação do leitor com as situações apresentadas.*SA0175AZ8*LC - 1º dia | Caderno 1 - AZUL - Página 9']"
19,D,"BRANCO, A. Disponível em: www.oesquema.com.br. Acesso em: 30 jun. 2015 (adaptado). internet proporcionou o surgimento de novos paradigmas sociais e impulsionou a modificação de outros já estabelecidos nas esferas da comunicação e da informação. A principal consequência criticada na tirinha sobre esse processo é a ","['criação de memes. ', 'ampliação da blogosfera. ', 'supremacia das ideias cibernéticas. ', 'comercialização de pontos de vista. ', 'banalização do comércio eletrônico.']"
20,B,"Vó Clarissa deixou cair os talheres no prato, fazendo a porcelana estalar. Joaquim, meu primo, continuava com o queixo suspenso, batendo com o garfo nos lábios, esperando a resposta. Beatriz ecoou a palavra como pergunta, “o que é lésbica?”. Eu fiquei muda. Joaquim sabia sobre mim e me entregaria para a vó e, mais tarde, para toda a família. Senti um calor letal subir pelo meu pescoço e me doer atrás das orelhas. Previ a cena: vó, a senhora é lésbica? Porque a Joana é. A vergonha estava na minha cara e me denunciava antes mesmo da delação. Apertei os olhos e contraí o peito, esperando o tiro. [...] [...] Pensei na naturalidade com que Taís e eu levávamos a nossa história. Pensei na minha insegurança de contar isso à minha família, pensei em todos os colegas e professores que já sabiam, fechei os olhos e vi a boca da minha vó e a boca da tia Carolina se tocando, apesar de todos os impedimentos. Eu quis saber mais, eu quis saber tudo, mas não consegui perguntar. POLESSO, N. B. Vó, a senhora é lésbica? Amora. Porto Alegre: Não Editora, 2015 (fragmento). situação narrada revela uma tensão fundamentada na perspectiva do ","['conflito com os interesses de poder. ', 'silêncio em nome do equilíbrio familiar. ', 'medo instaurado pelas ameaças de punição. ', 'choque imposto pela distância entre as gerações. ', 'apego aos protocolos de conduta segundo os gêneros. *SA0175AZ9*LC - 1º dia | Caderno 1 - AZUL - Página 10']"
21,B,"Ó Pátria amada, Idolatrada, Salve! Salve! Brasil, de amor eterno seja símbolo O lábaro que ostentas estrelado, diga o verde-louro dessa flâmula— “Paz no futuro e glória no passado.”Mas, se ergues da justiça a clava forte,Verás que um filho teu não foge à luta,Nem teme, quem te adora, a própria morte.Terra adorada,Entre outras mil,És tu, Brasil,Ó Pátria amada!Dos filhos deste solo és mãe gentil,Pátria amada, Brasil! Hino Nacional do Brasil . Letra: Joaquim Osório Duque Estrada. Música: Francisco Manuel da Silva (fragmento). O uso da norma-padrão na letra do Hino Nacional do Brasil é justificado por tratar-se de um(a) ","['reverência de um povo a seu país. ', 'gênero solene de característica protocolar. ', 'canção concebida sem interferência da oralidade. ', 'escrita de uma fase mais antiga da língua portuguesa. ', 'artefato cultural respeitado por todo o povo brasileiro.']"
